code,subject_id,sleep_condition,time_experiment,first_scenario,RT_0_City,RT_1_City,RT_2_City,RT_3_City,RT_4_City,RT_0_Country,RT_1_Country,RT_2_Country,RT_3_Country,RT_4_Country
41_AC10,41,0,10,Country,2.713562,1.479187,1.560425,1.6606450000000001,1.3989260000000001,1.53302,1.283752,1.798889,1.11731,1.033325
42_AU16,42,0,16,City,2.054688,1.2516479999999999,1.382751,1.451172,1.275879,1.299744,1.350403,1.1323239999999999,1.400269,1.117065
43_DC10,43,1,10,Country,1.29303,1.578247,1.5002440000000001,,,1.5328979999999999,1.8168330000000001,1.5321040000000001,3.050537,1.516968
44_DU16,44,1,16,City,1.4357600000000001,1.171448,1.085083,,,,,0.8019409000000001,,
45_AC10,45,0,10,Country,1.237244,0.7930908,,0.7927246,,,0.7996826,0.8361206,0.7335205,0.7331543
46_AU16,46,0,16,City,1.6330870000000002,1.133728,0.7781982,0.8123779000000001,,1.0338129999999999,1.150085,0.96521,0.7502441,0.9168700999999999
47_DC16,47,1,16,Country,1.933197,1.243225,1.466309,1.498901,,,,1.366028,1.1832280000000002,1.2998049999999999
48_DU10,48,1,10,City,1.42334,1.386108,1.220703,0.8798828000000002,,,,0.7659912,,
49_AC10,49,0,10,Country,1.338013,1.1536870000000001,1.6134030000000001,1.860352,1.516235,1.00058,1.033142,0.7662964,,0.7503662
50_AU16,50,0,16,City,1.501465,0.8977661,1.292908,1.6462400000000001,1.332886,0.96698,1.116882,0.9320068000000001,1.6168209999999998,
51_DC10,51,1,10,Country,1.013794,,,,,1.545166,1.284668,1.198792,0.9666748,
52_DU16,52,1,16,City,,1.866882,1.570251,1.6707759999999998,1.732788,1.333588,1.8507080000000002,2.498901,1.56665,1.666504
53_AC16,53,0,16,Country,1.8052979999999998,1.33728,4.792358,1.532349,1.416504,1.10025,1.633606,1.36554,1.849609,
54_AU16,54,0,16,City,,1.6846919999999999,1.2734379999999998,2.050659,1.684448,1.366364,1.6343379999999998,1.3656620000000002,1.400879,2.467163
55_DC16,55,1,16,Country,1.3288879999999998,0.7558594,1.000916,,0.9152832000000001,0.8668213,0.9163208,0.8321533000000001,0.7501220999999999,1.1165770000000002
56_DU16,56,1,16,City,1.94223,1.443176,1.201782,1.525391,1.3831790000000002,1.533203,1.365723,1.5660399999999999,1.500122,2.266479
57_AC16,57,0,16,Country,1.205841,0.7821045,,,,0.7666016,,0.7647705,,
58_AU10,58,0,10,City,2.419098,1.036255,1.2527469999999998,1.372681,1.149902,1.865479,1.7675169999999998,1.365845,1.5671389999999998,1.4997559999999999
59_DC16,59,1,16,Country,1.527832,1.179749,1.270508,1.192993,,1.383575,1.198792,1.099365,1.150024,1.133667
60_DU16,60,1,16,City,1.7221369999999998,2.07605,,,,1.1673280000000001,1.033691,1.132751,0.7998046999999999,
61_DC10,61,1,10,Country,0.893158,1.369019,0.9831542999999999,1.041748,,1.266724,1.066589,3.532715,1.300659,
62_AU16,62,0,16,City,,,,,,0.9004517,1.0509030000000001,1.283447,0.9667969000000001,1.134033
63_AC10,63,0,10,Country,2.552673,1.503418,1.3995360000000001,2.114014,,1.600494,,1.165405,1.700439,1.333862
