code,subject_id,sleep_condition,time_experiment,first_scenario,RT_0_City,RT_1_City,RT_2_City,RT_3_City,RT_4_City,RT_0_Country,RT_1_Country,RT_2_Country,RT_3_Country,RT_4_Country
51_DC10,51,1,10,Country,1.013794,,,,,1.545166,1.284668,1.198792,0.9666748,0.5998535
52_DU16,52,1,16,City,9.003906,1.866882,1.570251,1.670776,1.732788,1.333588,1.850708,2.498901,1.56665,1.666504
53_AC16,53,0,16,Country,1.805298,1.33728,4.792358,1.532349,1.416504,1.10025,1.633606,1.36554,1.849609,0.5163574
54_AU16,54,0,16,City,10.26117,1.684692,1.273438,2.050659,1.684448,1.366364,1.634338,1.365662,1.400879,2.467163
55_DC16,55,1,16,Country,1.328888,0.7558594,1.000916,10.54529,0.9152832,0.8668213,0.9163208,0.8321533,0.7501221,1.116577
56_DU16,56,1,16,City,1.94223,1.443176,1.201782,1.525391,1.383179,1.533203,1.365723,1.56604,1.500122,2.266479
57_AC16,57,0,16,Country,1.205841,0.7821045,0.7019653,0.6420898,,0.7666016,0.6995239,0.7647705,0.5678711,0.5335693
58_AU10,58,0,10,City,2.419098,1.036255,1.252747,1.372681,1.149902,1.865479,1.767517,1.365845,1.567139,1.499756
59_DC16,59,1,16,Country,1.527832,1.179749,1.270508,1.192993,,1.383575,1.198792,1.099365,1.150024,1.133667
60_DU16,60,1,16,City,1.722137,2.07605,,,,1.167328,1.033691,1.132751,0.7998047,0.5330811
61_DC10,61,1,10,Country,0.893158,1.369019,0.9831543,1.041748,0.6845703,1.266724,1.066589,3.532715,1.300659,0.6832275
62_AU16,62,0,16,City,,,,,,0.9004517,1.050903,1.283447,0.9667969,1.134033
63_AC10,63,0,10,Country,2.552673,1.503418,1.399536,2.114014,,1.600494,6.466858,1.165405,1.700439,1.333862
